execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-07-13,0050,元大台灣50,107.6000,266,28621.60,40.00,0.00,28661.60,28.00,simulated_position
2026-07-13,0056,元大高股息,53.6000,699,37466.40,53.00,0.00,37519.40,37.00,simulated_position
2026-07-13,006208,富邦台50,249.2000,120,29904.00,42.00,0.00,29946.00,29.00,simulated_position
2026-07-13,00881,國泰台灣5G+,56.3000,436,24546.80,34.00,0.00,24580.80,24.00,simulated_position
2026-07-13,2330,台積電,2430.0000,13,31590.00,45.00,0.00,31635.00,94.00,simulated_position
2026-07-13,2454,聯發科,4455.0000,1,4455.00,6.67,0.00,4461.66,13.34,simulated_position
2026-07-13,2412,中華電,143.0000,294,42042.00,59.85,0.00,42101.85,125.68,simulated_position
