mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-08-06,close,2026-08-06T10:40:18,0050,元大台灣50,266,107.6,28661.6,103.2,public_close,27451.2,-1210.3999999999978,-0.04223071984815913,17.0,17.0,1754800.0,ready
2026-08-06,close,2026-08-06T10:40:18,0056,元大高股息,294,53.6,15780.69,51.45,public_close,15126.300000000001,-654.3899999999994,-0.04146776851962743,5.0,5.0,257250.0,ready
2026-08-06,close,2026-08-06T10:40:18,006208,富邦台50,50,249.2,12477.5,236.45,public_close,11822.5,-655.0,-0.05249449008214786,2.0,2.0,472900.0,ready
2026-08-06,close,2026-08-06T10:40:18,00881,國泰台灣5G+,102,56.3,5750.55,52.75,public_close,5380.5,-370.0500000000002,-0.06435036648668391,2.0,2.0,105500.0,ready
2026-08-06,close,2026-08-06T10:40:18,2330,台積電,13,2430.0,31635.0,2370.0,public_close,30810.0,-825.0,-0.026078710289236605,11.0,11.0,26100000.0,ready
2026-08-06,close,2026-08-06T10:40:18,2412,中華電,123,143.0,17614.04,137.0,public_close,16851.0,-763.0400000000009,-0.043319987918728514,4.0,4.0,547500.0,ready
