execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-07-27,0050,元大台灣50,107.6000,266,28621.60,40.00,0.00,28661.60,28.00,simulated_position
2026-07-27,0056,元大高股息,53.6000,524,28086.40,39.73,0.00,28126.13,27.74,simulated_position
2026-07-27,006208,富邦台50,249.2000,90,22428.00,31.50,0.00,22459.50,21.75,simulated_position
2026-07-27,00881,國泰台灣5G+,56.3000,327,18410.10,25.50,0.00,18435.60,18.00,simulated_position
2026-07-27,2330,台積電,2430.0000,13,31590.00,45.00,0.00,31635.00,94.00,simulated_position
2026-07-27,2412,中華電,143.0000,220,31460.00,44.79,0.00,31504.79,94.05,simulated_position
