execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-07-14,0050,元大台灣50,107.6000,266,28621.60,40.00,0.00,28661.60,28.00,simulated_position
2026-07-14,0056,元大高股息,53.6000,699,37466.40,53.00,0.00,37519.40,37.00,simulated_position
2026-07-14,006208,富邦台50,249.2000,120,29904.00,42.00,0.00,29946.00,29.00,simulated_position
2026-07-14,00881,國泰台灣5G+,56.3000,436,24546.80,34.00,0.00,24580.80,24.00,simulated_position
2026-07-14,2330,台積電,2430.0000,13,31590.00,45.00,0.00,31635.00,94.00,simulated_position
2026-07-14,2412,中華電,143.0000,220,31460.00,44.79,0.00,31504.79,94.05,simulated_position
