trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
2026-06-08,2317,鴻海,sell,13,269.5000,3503.50,5.00,11.00,3487.50,4061.72,-574.22,37,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
2026-06-08,1301,台塑,sell,71,45.8500,3255.35,5.00,10.00,3240.35,3732.81,-492.46,210,模拟盘连续收盘亏损超过约 6%，已连续观察至少 2 天，建议先减码 25%。,executed
