mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-08-07,close,2026-08-08T07:25:37,0050,元大台灣50,266,107.6,28661.6,102.85,public_close,27358.1,-1303.5,-0.04547896837580596,1055.0,1055.0,108506750.0,ready
2026-08-07,close,2026-08-08T07:25:37,0056,元大高股息,294,53.6,15780.69,51.05,public_close,15008.699999999999,-771.9900000000016,-0.04891991414824077,1573.0,1573.0,80301650.0,ready
2026-08-07,close,2026-08-08T07:25:37,006208,富邦台50,50,249.2,12477.5,235.35,public_close,11767.5,-710.0,-0.05690242436385494,8.0,8.0,1882800.0,ready
2026-08-07,close,2026-08-08T07:25:37,00881,國泰台灣5G+,76,56.3,4284.72,52.25,public_close,3971.0,-313.72000000000025,-0.07321831998356958,322.0,322.0,16824500.0,ready
2026-08-07,close,2026-08-08T07:25:37,2330,台積電,13,2430.0,31635.0,2370.0,public_close,30810.0,-825.0,-0.026078710289236605,3686.0,3686.0,8735820000.0,ready
2026-08-07,close,2026-08-08T07:25:37,2412,中華電,92,143.0,13174.73,137.5,public_close,12650.0,-524.7299999999996,-0.03982852020496812,819.0,819.0,112612500.0,ready
