trade_id,trade_date,symbol,name,action,shares,trade_price,gross_amount,fee,tax,net_amount,realized_cost,realized_pnl,remaining_shares,reason,status
paper-20260626-0050-sell-01-1d8aa55141,2026-06-26,0050,元大台灣50,sell,266,103.1000,27424.60,39.00,27.00,27358.60,28661.60,-1303.00,0,模拟盘持仓亏损超过 4% 或趋势破位，触发全额止损出局，资金轮换至强势 Alpha 龙头。,executed
paper-20260626-0056-sell-01-2dc0d5e5cc,2026-06-26,0056,元大高股息,sell,294,51.4500,15126.30,22.00,15.00,15089.30,15780.69,-691.39,0,模拟盘持仓亏损超过 4% 或趋势破位，触发全额止损出局，资金轮换至强势 Alpha 龙头。,executed
paper-20260626-006208-sell-01-00dbc25fe5,2026-06-26,006208,富邦台50,sell,50,238.7000,11935.00,17.00,12.00,11906.00,12477.50,-571.50,0,模拟盘持仓亏损超过 4% 或趋势破位，触发全额止损出局，资金轮换至强势 Alpha 龙头。,executed
paper-20260626-00881-sell-01-9a8bf45d76,2026-06-26,00881,國泰台灣5G+,sell,76,52.7000,4005.20,6.00,4.00,3995.20,4284.72,-289.52,0,模拟盘持仓亏损超过 4% 或趋势破位，触发全额止损出局，资金轮换至强势 Alpha 龙头。,executed
