mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-06-22,close,2026-06-24T22:45:14,0050,元大台灣50,266,107.6,28661.6,111.15,public_close,29565.9,904.3000000000029,0.031550925279817,116042256.0,116042256.0,12844178985.0,ready
2026-06-22,close,2026-06-24T22:45:14,0056,元大高股息,699,53.6,37519.4,54.05,public_close,37780.95,261.54999999999563,0.006971060304802199,47649273.0,47649273.0,2571412244.0,ready
2026-06-22,close,2026-06-24T22:45:14,006208,富邦台50,120,249.2,29946.0,257.45,public_close,30894.0,948.0,0.03165698256862352,5127921.0,5127921.0,1316863745.0,ready
2026-06-22,close,2026-06-24T22:45:14,00881,國泰台灣5G+,436,56.3,24580.8,57.35,public_close,25004.600000000002,423.8000000000029,0.017241098743735066,11287692.0,11287692.0,645037950.0,ready
2026-06-22,close,2026-06-24T22:45:14,2330,台積電,13,2430.0,31635.0,2510.0,public_close,32630.0,995.0,0.031452505136715665,45207883.0,45207883.0,112735082698.0,ready
2026-06-22,close,2026-06-24T22:45:14,2454,聯發科,3,4455.0,13385.0,4465.0,public_close,13395.0,10.0,0.0007471049682480389,11596124.0,11596124.0,51923218480.0,ready
2026-06-22,close,2026-06-24T22:45:14,2412,中華電,393,143.0,56279.0,144.5,public_close,56788.5,509.5,0.009053110396417846,8346517.0,8346517.0,1208248878.0,ready
