execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-03-23,0050,元大台灣50,107.6000,119,12804.40,18.0,0,12822.40,13.0,simulated_position
2026-03-23,0056,元大高股息,53.6000,371,19885.60,28.0,0,19913.60,20.0,simulated_position
2026-03-23,00878,國泰永續高股息,33.2500,656,21812.00,31.0,0,21843.00,22.0,simulated_position
2026-03-23,006208,富邦台50,249.2000,93,23175.60,33.0,0,23208.60,23.0,simulated_position
2026-03-23,00713,元大台灣高息低波,59.7500,406,24258.50,35.0,0,24293.50,24.0,simulated_position
2026-03-23,00881,國泰台灣5G+,56.3000,349,19648.70,28.0,0,19676.70,20.0,simulated_position
2026-03-23,00919,群益台灣精選高息,30.7200,646,19845.12,28.0,0,19873.12,20.0,simulated_position
2026-03-23,2330,台積電,2430.0000,9,21870.00,31.0,0,21901.00,66.0,simulated_position
2026-03-23,2317,鴻海,312.0000,15,4680.00,6.6,0,4686.60,14.1,simulated_position
2026-03-23,2454,聯發科,4455.0000,4,17820.00,25.0,0,17845.00,53.0,simulated_position
2026-03-23,2303,聯電,135.0000,134,18090.00,26.0,0,18116.00,54.0,simulated_position
2026-03-23,2881,富邦金,114.0000,151,17214.00,24.85,0,17238.85,51.6,simulated_position
2026-03-23,2882,國泰金,91.5000,156,14274.00,20.46,0,14294.46,42.84,simulated_position
2026-03-23,2412,中華電,143.0000,654,93522.00,133.0,0,93655.00,281.0,simulated_position
