mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-08-03,close,2026-08-03T20:49:41,0050,元大台灣50,266,107.6,28661.6,102.0,public_close,27132.0,-1529.5999999999985,-0.05336757194294801,1725.0,1725.0,175950000.0,ready
2026-08-03,close,2026-08-03T20:49:41,0056,元大高股息,393,53.6,21094.6,49.82,public_close,19579.26,-1515.3400000000001,-0.07183544603832262,748.0,748.0,37265360.0,ready
2026-08-03,close,2026-08-03T20:49:41,006208,富邦台50,67,249.2,16719.85,232.9,public_close,15604.300000000001,-1115.5499999999975,-0.06672009617311145,44.0,44.0,10247600.0,ready
2026-08-03,close,2026-08-03T20:49:41,00881,國泰台灣5G+,245,56.3,13812.61,50.85,public_close,12458.25,-1354.3600000000006,-0.0980524317996382,547.0,547.0,27814950.0,ready
2026-08-03,close,2026-08-03T20:49:41,2330,台積電,13,2430.0,31635.0,2370.0,public_close,30810.0,-825.0,-0.026078710289236605,4928.0,4928.0,11679360000.0,ready
2026-08-03,close,2026-08-03T20:49:41,2412,中華電,220,143.0,31504.79,139.0,public_close,30580.0,-924.7900000000009,-0.0293539490344167,1165.0,1165.0,161935000.0,ready
