mark_date,market_mode,quote_time,symbol,name,shares,entry_price,entry_cost,current_price,current_price_source,current_market_value,unrealized_pnl,unrealized_pnl_pct,volume,total_volume,total_amount,quote_status
2026-07-27,close,2026-07-27T20:17:32,0050,元大台灣50,266,107.6,28661.6,101.45,public_close,26985.7,-1675.8999999999978,-0.05847196248639287,1331.0,1331.0,135029950.0,ready
2026-07-27,close,2026-07-27T20:17:32,0056,元大高股息,699,53.6,37519.4,50.0,public_close,34950.0,-2569.4000000000015,-0.06848190536095997,2150.0,2150.0,107500000.0,ready
2026-07-27,close,2026-07-27T20:17:32,006208,富邦台50,120,249.2,29946.0,232.75,public_close,27930.0,-2016.0,-0.06732117812061711,39.0,39.0,9077250.0,ready
2026-07-27,close,2026-07-27T20:17:32,00881,國泰台灣5G+,436,56.3,24580.8,51.05,public_close,22257.8,-2323.0,-0.09450465403892469,106.0,106.0,5411300.0,ready
2026-07-27,close,2026-07-27T20:17:32,2330,台積電,13,2430.0,31635.0,2350.0,public_close,30550.0,-1085.0,-0.03429745535008693,4842.0,4842.0,11378700000.0,ready
2026-07-27,close,2026-07-27T20:17:32,2412,中華電,220,143.0,31504.79,140.5,public_close,30910.0,-594.7900000000009,-0.01887935136212623,1402.0,1402.0,196981000.0,ready
